book_chapter_verse,gloss,lemma,normalized,book,chapter
ACT 23:1,Having looked intently then - Paul Council he said Men brothers I in all conscience good have lived as a citizen - to God unto this - day missing,ἀτενίζω δέ ὁ Παῦλος ὁ συνέδριον λέγω ἀνήρ ἀδελφός ἐγώ πᾶς συνείδησις ἀγαθός πολιτεύομαι ὁ θεός ἄχρι οὗτος ὁ ἡμέρα,ἀτενίσας δέ ὁ Παῦλος τῷ συνεδρίῳ εἶπεν Ἄνδρες ἀδελφοί ἐγώ πάσῃ συνειδήσει ἀγαθῇ πεπολίτευμαι τῷ Θεῷ ἄχρι ταύτης τῆς ἡμέρας,Acts,Acts 23
ACT 23:10,Great then arising dissension having feared the commander lest should be torn to pieces - Paul by them he commanded the troop having gone down to take by force him from midst of them to bring [him] then into the barracks,πολύς δέ γίνομαι στάσις φοβέω ὁ χιλίαρχος μή διασπάω ὁ Παῦλος ὑπό αὐτός κελεύω ὁ στράτευμα καταβαίνω ἁρπάζω αὐτός ἐκ μέσος αὐτός ἄγω τέ εἰς ὁ παρεμβολή,πολλῆς δέ γινομένης στάσεως φοβηθείς ὁ χιλίαρχος μή διασπασθῇ ὁ Παῦλος ὑπ’ αὐτῶν ἐκέλευσεν τό στράτευμα καταβάν ἁρπάσαι αὐτόν ἐκ μέσου αὐτῶν ἄγειν τε εἰς τήν παρεμβολήν,Acts,Acts 23
ACT 23:11,- But the following night having stood by him the Lord said Take courage as for you have fully testified - about Me at Jerusalem so you it behooves also in Rome to testify,ὁ δέ ἔπειμι νύξ ἐφίστημι αὐτός ὁ κύριος λέγω θαρσέω ὡς γάρ διαμαρτύρομαι ὁ περί ἐγώ εἰς Ἱεροσόλυμα οὕτω σύ δεῖ καί εἰς Ῥώμη μαρτυρέω,Τῇ δέ ἐπιούσῃ νυκτί ἐπιστάς αὐτῷ ὁ Κύριος εἶπεν Θάρσει ὡς γάρ διεμαρτύρω τά περί ἐμοῦ εἰς Ἱερουσαλήμ οὕτω σε δεῖ καί εἰς Ῥώμην μαρτυρῆσαι,Acts,Acts 23
ACT 23:12,When it was then day having made a conspiracy the Jews put under an oath themselves declaring neither to eat nor to drink until that they should kill - Paul,γίνομαι δέ ἡμέρα ποιέω συστροφή ὁ Ἰουδαῖος ἀναθεματίζω ἑαυτοῦ λέγω μήτε ἐσθίω μήτε πίνω ἕως ὅς ἀποκτείνω ὁ Παῦλος,Γενομένης δέ ἡμέρας ποιήσαντες συστροφήν οἱ Ἰουδαῖοι ἀνεθεμάτισαν ἑαυτούς λέγοντες μήτε φαγεῖν μήτε πιεῖν ἕως οὗ ἀποκτείνωσιν τόν Παῦλον,Acts,Acts 23
ACT 23:13,There were now more than forty - this - plot having made,εἰμί δέ πολύς τεσσεράκοντα ὁ οὗτος ὁ συνωμοσία ποιέω,ἦσαν δέ πλείους τεσσεράκοντα οἱ ταύτην τήν συνωμοσίαν ποιησάμενοι,Acts,Acts 23
ACT 23:14,who having come to the chief priests and the elders said With an oath we have bound ourselves nothing to eat until that we should kill - Paul,ὅστις προσέρχομαι ὁ ἀρχιερεύς καί ὁ πρεσβύτερος λέγω ἀνάθεμα ἀναθεματίζω ἑαυτοῦ μηδείς γεύομαι ἕως ὅς ἀποκτείνω ὁ Παῦλος,οἵτινες προσελθόντες τοῖς ἀρχιερεῦσιν καί τοῖς πρεσβυτέροις εἶπαν Ἀναθέματι ἀνεθεματίσαμεν ἑαυτούς μηδενός γεύσασθαι ἕως οὗ ἀποκτείνωμεν τόν Παῦλον,Acts,Acts 23
ACT 23:15,Now therefore you make a report to the commander along with the Council so that he might bring down him to you as being about to examine more earnestly the things about him we then before - drawing near his ready are - to kill him,νῦν οὖν σύ ἐμφανίζω ὁ χιλίαρχος σύν ὁ συνέδριον ὅπως κατάγω αὐτός εἰς σύ ὡς μέλλω διαγινώσκω ἀκριβῶς ὁ περί αὐτός ἐγώ δέ πρό ὁ ἐγγίζω αὐτός ἕτοιμος εἰμί ὁ ἀναιρέω αὐτός,νῦν οὖν ὑμεῖς ἐμφανίσατε τῷ χιλιάρχῳ σύν τῷ συνεδρίῳ ὅπως καταγάγῃ αὐτόν εἰς ὑμᾶς ὡς μέλλοντας διαγινώσκειν ἀκριβέστερον τά περί αὐτοῦ ἡμεῖς δέ πρό τοῦ ἐγγίσαι αὐτόν ἕτοιμοι ἐσμεν τοῦ ἀνελεῖν αὐτόν,Acts,Acts 23
ACT 23:16,Having heard however the son of the sister of Paul of the ambush having come near and having entered into the barracks he reported [it] - to Paul,ἀκούω δέ ὁ υἱός ὁ ἀδελφή Παῦλος ὁ ἐνέδρα παραγίνομαι καί εἰσέρχομαι εἰς ὁ παρεμβολή ἀπαγγέλλω ὁ Παῦλος,Ἀκούσας δέ ὁ υἱός τῆς ἀδελφῆς Παύλου τήν ἐνέδραν παραγενόμενος καί εἰσελθών εἰς τήν παρεμβολήν ἀπήγγειλεν τῷ Παύλῳ,Acts,Acts 23
ACT 23:17,Having called to [him] then - Paul one of the centurions he was saying The young man this take to the commander he has for to report something to him,προσκαλέω δέ ὁ Παῦλος εἷς ὁ ἑκατοντάρχης φημί ὁ νεανίας οὗτος ἀπάγω πρός ὁ χιλίαρχος ἔχω γάρ ἀπαγγέλλω τὶς αὐτός,προσκαλεσάμενος δέ ὁ Παῦλος ἕνα τῶν ἑκατονταρχῶν ἔφη Τόν νεανίαν τοῦτον ἄπαγε πρός τόν χιλίαρχον ἔχει γάρ ἀπαγγεῖλαι τι αὐτῷ,Acts,Acts 23
ACT 23:18,The [one] indeed therefore having taken him brought [him] to the commander and he says The prisoner Paul having called to me asked [me] this - young man to lead to you having something to say to you,ὁ μέν οὖν παραλαμβάνω αὐτός ἄγω πρός ὁ χιλίαρχος καί φημί ὁ δέσμιος Παῦλος προσκαλέω ἐγώ ἐρωτάω οὗτος ὁ νεανίσκος ἄγω πρός σύ ἔχω τὶς λαλέω σύ,ὁ μέν οὖν παραλαβών αὐτόν ἤγαγεν πρός τόν χιλίαρχον καί φησίν Ὁ δέσμιος Παῦλος προσκαλεσάμενος με ἠρώτησεν τοῦτον τόν νεανίσκον ἀγαγεῖν πρός σέ ἔχοντα τι λαλῆσαι σοι,Acts,Acts 23
ACT 23:19,Having taken hold then the hand of him the commander and having withdrawn in private he began to inquire What is it that you have to report to me,ἐπιλαμβάνομαι δέ ὁ χείρ αὐτός ὁ χιλίαρχος καί ἀναχωρέω κατά ἴδιος πυνθάνομαι τίς εἰμί ὅς ἔχω ἀπαγγέλλω ἐγώ,ἐπιλαβόμενος δέ τῆς χειρός αὐτοῦ ὁ χιλίαρχος καί ἀναχωρήσας κατ’ ἰδίαν ἐπυνθάνετο Τί ἐστιν ὅ ἔχεις ἀπαγγεῖλαι μοι,Acts,Acts 23
ACT 23:2,- Then the high priest Ananias commanded those standing by him to strike of him the mouth,ὁ δέ ἀρχιερεύς Ἁνανίας ἐπιτάσσω ὁ παρίστημι αὐτός τύπτω αὐτός ὁ στόμα,ὁ δέ ἀρχιερεύς Ἀνανίας ἐπέταξεν τοῖς παρεστῶσιν αὐτῷ τύπτειν αὐτοῦ τό στόμα,Acts,Acts 23
ACT 23:20,He said then - The Jews have agreed - to ask you that tomorrow - Paul you might bring down into the Council as being about something more earnestly to inquire about him,λέγω δέ ὅτι ὁ Ἰουδαῖος συντίθημι ὁ ἐρωτάω σύ ὅπως αὔριον ὁ Παῦλος κατάγω εἰς ὁ συνέδριον ὡς μέλλω τὶς ἀκριβῶς πυνθάνομαι περί αὐτός,εἶπεν δέ ὅτι Οἱ Ἰουδαῖοι συνέθεντο τοῦ ἐρωτῆσαι σε ὅπως αὔριον τόν Παῦλον καταγάγῃς εἰς τό συνέδριον ὡς μέλλων τι ἀκριβέστερον πυνθάνεσθαι περί αὐτοῦ,Acts,Acts 23
ACT 23:21,You therefore not should be persuaded by them Lie in wait indeed for him of them men more than forty who have put under an oath themselves neither to eat nor to drink until that they have killed him and now they are ready awaiting the from you promise,σύ οὖν μή πείθω αὐτός ἐνεδρεύω γάρ αὐτός ἐκ αὐτός ἀνήρ πολύς τεσσεράκοντα ὅστις ἀναθεματίζω ἑαυτοῦ μήτε ἐσθίω μήτε πίνω ἕως ὅς ἀναιρέω αὐτός καί νῦν εἰμί ἕτοιμος προσδέχομαι ὁ ἀπό σύ ἐπαγγελία,σύ οὖν μή πεισθῇς αὐτοῖς ἐνεδρεύουσιν γάρ αὐτόν ἐξ αὐτῶν ἄνδρες πλείους τεσσεράκοντα οἵτινες ἀνεθεμάτισαν ἑαυτούς μήτε φαγεῖν μήτε πιεῖν ἕως οὗ ἀνέλωσιν αὐτόν καί νῦν εἰσιν ἕτοιμοι προσδεχόμενοι τήν ἀπό σοῦ ἐπαγγελίαν,Acts,Acts 23
ACT 23:22,- Indeed therefore the commander dismissed the young man having instructed [him] No one tell that these things you have reported to me,ὁ μέν οὖν χιλίαρχος ἀπολύω ὁ νεανίσκος παραγγέλλω μηδείς ἐκλαλέω ὅτι οὗτος ἐμφανίζω πρός ἐγώ,ὁ μέν οὖν χιλίαρχος ἀπέλυσε τόν νεανίσκον παραγγείλας μηδενί ἐκλαλῆσαι ὅτι ταῦτα ἐνεφάνισας πρός ἐμέ,Acts,Acts 23
ACT 23:23,And having called to [him] certain two of the centurions he said Prepare soldiers two hundred so that they might go as far as Caesarea and horsemen seventy and spearmen two hundred for the third hour of the night,καί προσκαλέω τὶς δύο ὁ ἑκατοντάρχης λέγω ἑτοιμάζω στρατιώτης διακόσιοι ὅπως πορεύομαι ἕως Καισάρεια καί ἱππεύς ἑβδομήκοντα καί δεξιολάβος διακόσιοι ἀπό τρίτος ὥρα ὁ νύξ,Καί προσκαλεσάμενος τινας δύο τῶν ἑκατονταρχῶν εἶπεν Ἑτοιμάσατε στρατιώτας διακοσίους ὅπως πορευθῶσιν ἕως Καισαρίας καί ἱππεῖς ἑβδομήκοντα καί δεξιολάβους διακοσίους ἀπό τρίτης ὥρας τῆς νυκτός,Acts,Acts 23
ACT 23:24,Mounts then provide so that having set upon [them] - Paul they might bring [him] safely to Felix the governor,κτῆνος τέ παρίστημι ἵνα ἐπιβιβάζω ὁ Παῦλος διασῴζω πρός Φῆλιξ ὁ ἡγεμών,κτήνη τε παραστῆσαι ἵνα ἐπιβιβάσαντες τόν Παῦλον διασώσωσι πρός Φήλικα τόν ἡγεμόνα,Acts,Acts 23
ACT 23:25,having written a letter having the form this,γράφω ἐπιστολή ἔχω ὁ τύπος οὗτος,γράψας ἐπιστολήν ἔχουσαν τόν τύπον τοῦτον,Acts,Acts 23
ACT 23:26,Claudius Lysias To the most excellent governor Felix Greetings,Κλαύδιος Λυσίας ὁ κράτιστος ἡγεμών Φῆλιξ χαίρω,Κλαύδιος Λυσίας τῷ κρατίστῳ ἡγεμόνι Φήλικι χαίρειν,Acts,Acts 23
ACT 23:27,The man this having been seized by the Jews and being about to be killed by them having come up with the troop I rescued [him] having learned that a Roman he is,ὁ ἀνήρ οὗτος συλλαμβάνω ὑπό ὁ Ἰουδαῖος καί μέλλω ἀναιρέω ὑπό αὐτός ἐφίστημι σύν ὁ στράτευμα ἐξαιρέω μανθάνω ὅτι Ῥωμαῖος εἰμί,Τόν ἄνδρα τοῦτον συλλημφθέντα ὑπό τῶν Ἰουδαίων καί μέλλοντα ἀναιρεῖσθαι ὑπ’ αὐτῶν ἐπιστάς σύν τῷ στρατεύματι ἐξειλάμην μαθών ὅτι Ῥωμαῖος ἐστιν,Acts,Acts 23
ACT 23:28,Resolving then to know the charge on account of which they were accusing him I brought [him] down to the council of them,βούλομαι τέ ἐπιγινώσκω ὁ αἰτία διά ὅς ἐγκαλέω αὐτός κατάγω εἰς ὁ συνέδριον αὐτός,βουλόμενος τε ἐπιγνῶναι τήν αἰτίαν δι’ ἥν ἐνεκάλουν αὐτῷ κατήγαγον εἰς τό συνέδριον αὐτῶν,Acts,Acts 23
ACT 23:29,whom I found being accused concerning questions of the law of them no however worthy of death or of chains having accusation,ὅς εὑρίσκω ἐγκαλέω περί ζήτημα ὁ νόμος αὐτός μηδείς δέ ἄξιος θάνατος ἤ δεσμός ἔχω ἔγκλημα,ὅν εὗρον ἐγκαλούμενον περί ζητημάτων τοῦ νόμου αὐτῶν μηδέν δέ ἄξιον θανάτου ἤ δεσμῶν ἔχοντα ἔγκλημα,Acts,Acts 23
ACT 23:3,Then - Paul to him said To strike you is about - God wall whitewashed And you do you sit judging me according to the law and violating law command me to be struck,τότε ὁ Παῦλος πρός αὐτός λέγω τύπτω σύ μέλλω ὁ θεός τοῖχος κονιάω καί σύ κάθημαι κρίνω ἐγώ κατά ὁ νόμος καί παρανομέω κελεύω ἐγώ τύπτω,τότε ὁ Παῦλος πρός αὐτόν εἶπεν Τύπτειν σε μέλλει ὁ Θεός τοῖχε κεκονιαμένε καί σύ κάθῃ κρίνων με κατά τόν νόμον καί παρανομῶν κελεύεις με τύπτεσθαι,Acts,Acts 23
ACT 23:30,It having been disclosed then to me of a plot that against the man would be at once I sent [him] to you having instructed also the accusers to speak against him before you,μηνύω δέ ἐγώ ἐπιβουλή εἰς ὁ ἀνήρ εἰμί ἐξαυτῆς πέμπω πρός σύ παραγγέλλω καί ὁ κατήγορος λέγω πρός αὐτός ἐπί σύ,μηνυθείσης δέ μοι ἐπιβουλῆς εἰς τόν ἄνδρα ἔσεσθαι ἐξαυτῆς ἔπεμψα πρός σέ παραγγείλας καί τοῖς κατηγόροις λέγειν πρός αὐτόν ἐπί σοῦ,Acts,Acts 23
ACT 23:31,- Indeed therefore the soldiers according to that having been ordered them having taken - Paul brought [him] by night to - Antipatris,ὁ μέν οὖν στρατιώτης κατά ὁ διατάσσω αὐτός ἀναλαμβάνω ὁ Παῦλος ἄγω διά νύξ εἰς ὁ Ἀντιπατρίς,Οἱ μέν οὖν στρατιῶται κατά τό διατεταγμένον αὐτοῖς ἀναλαβόντες τόν Παῦλον ἤγαγον διά νυκτός εἰς τήν Ἀντιπατρίδα,Acts,Acts 23
ACT 23:32,On the now next day having allowed the horsemen to go with him they returned to the barracks,ὁ δέ ἐπαύριον ἐάω ὁ ἱππεύς ἀπέρχομαι σύν αὐτός ὑποστρέφω εἰς ὁ παρεμβολή,τῇ δέ ἐπαύριον ἐάσαντες τούς ἱππεῖς ἀπέρχεσθαι σύν αὐτῷ ὑπέστρεψαν εἰς τήν παρεμβολήν,Acts,Acts 23
ACT 23:33,who having entered into - Caesarea and having delivered the letter to the governor presented also - Paul to him,ὅστις εἰσέρχομαι εἰς ὁ Καισάρεια καί ἀναδίδωμι ὁ ἐπιστολή ὁ ἡγεμών παρίστημι καί ὁ Παῦλος αὐτός,οἵτινες εἰσελθόντες εἰς τήν Καισαρίαν καί ἀναδόντες τήν ἐπιστολήν τῷ ἡγεμόνι παρέστησαν καί τόν Παῦλον αὐτῷ,Acts,Acts 23
ACT 23:34,Having read [it] then and having asked from what province he is and having learned that from Cilicia [he is],ἀναγινώσκω δέ καί ἐπερωτάω ἐκ ποῖος ἐπαρχεία εἰμί καί πυνθάνομαι ὅτι ἀπό Κιλικία,ἀναγνούς δέ καί ἐπερωτήσας ἐκ ποίας ἐπαρχείας ἐστίν καί πυθόμενος ὅτι ἀπό Κιλικίας,Acts,Acts 23
ACT 23:35,I will hear fully you he was saying when also the accusers of you may have arrived having commanded in the Praetorium - of Herod to be guarded him,διακούω σύ φημί ὅταν καί ὁ κατήγορος σύ παραγίνομαι κελεύω ἐν ὁ πραιτώριον ὁ Ἡρῴδης φυλάσσω αὐτός,Διακούσομαι σου ἔφη ὅταν καί οἱ κατήγοροι σου παραγένωνται κελεύσας ἐν τῷ πραιτωρίῳ τοῦ Ἠρῴδου φυλάσσεσθαι αὐτόν,Acts,Acts 23
ACT 23:4,Those who now stood by said The high priest - of God do you insult,ὁ δέ παρίστημι λέγω ὁ ἀρχιερεύς ὁ θεός λοιδορέω,οἱ δέ παρεστῶτες εἶπαν Τόν ἀρχιερέα τοῦ Θεοῦ λοιδορεῖς,Acts,Acts 23
ACT 23:5,Was saying then - Paul Not I was aware brothers that he is high priest it has been written for - [The] ruler of the people of you not you shall speak evil [of],φημί τέ ὁ Παῦλος οὐ οἶδα ἀδελφός ὅτι εἰμί ἀρχιερεύς γράφω γάρ ὅτι ἄρχων ὁ λαός σύ οὐ εἶπον κακῶς,ἔφη τε ὁ Παῦλος Οὐκ ᾔδειν ἀδελφοί ὅτι ἐστίν ἀρχιερεύς γέγραπται γάρ ὅτι Ἄρχοντα τοῦ λαοῦ σου οὐκ ἐρεῖς κακῶς,Acts,Acts 23
ACT 23:6,Having known then - Paul that the one part consists of Sadducees - but the other of Pharisees he began crying out in the Council Men brothers I a Pharisee am [the] son of a Pharisee concerning [the] hope and resurrection of [the] dead am judged,γινώσκω δέ ὁ Παῦλος ὅτι ὁ εἷς μέρος εἰμί Σαδδουκαῖος ὁ δέ ἕτερος Φαρισαῖος κράζω ἐν ὁ συνέδριον ἀνήρ ἀδελφός ἐγώ Φαρισαῖος εἰμί υἱός Φαρισαῖος περί ἐλπίς καί ἀνάστασις νεκρός κρίνω,γνούς δέ ὁ Παῦλος ὅτι τό ἕν μέρος ἐστίν Σαδδουκαίων τό δέ ἕτερον Φαρισαίων ἔκραζεν ἐν τῷ συνεδρίῳ Ἄνδρες ἀδελφοί ἐγώ Φαρισαῖος εἰμι υἱός Φαρισαίων περί ἐλπίδος καί ἀναστάσεως νεκρῶν κρίνομαι,Acts,Acts 23
ACT 23:7,This then of him saying arose a dissension between the Pharisees and Sadducees and was divided the crowd,οὗτος δέ αὐτός λαλέω γίνομαι στάσις ὁ Φαρισαῖος καί Σαδδουκαῖος καί σχίζω ὁ πλῆθος,τοῦτο δέ αὐτοῦ λαλοῦντος ἐγένετο στάσις τῶν Φαρισαίων καί Σαδδουκαίων καί ἐσχίσθη τό πλῆθος,Acts,Acts 23
ACT 23:8,Sadducees for say not there to be resurrection nor angel nor spirit Pharisees however confess - both,Σαδδουκαῖος γάρ λέγω μή εἰμί ἀνάστασις μήτε ἄγγελος μήτε πνεῦμα Φαρισαῖος δέ ὁμολογέω ὁ ἀμφότεροι,Σαδδουκαῖοι γάρ λέγουσιν μή εἶναι ἀνάστασιν μήτε ἄγγελον μήτε πνεῦμα Φαρισαῖοι δέ ὁμολογοῦσιν τά ἀμφότερα,Acts,Acts 23
ACT 23:9,Arose then a clamor great and having risen up some of the scribes of the party of the Pharisees they were contending saying Nothing evil we find in the man this What if now a spirit has spoken to him or an angel,γίνομαι δέ κραυγή μέγας καί ἀνίστημι τὶς ὁ γραμματεύς ὁ μέρος ὁ Φαρισαῖος διαμάχομαι λέγω οὐδείς κακός εὑρίσκω ἐν ὁ ἄνθρωπος οὗτος εἰ δέ πνεῦμα λαλέω αὐτός ἤ ἄγγελος,ἐγένετο δέ κραυγή μεγάλη καί ἀναστάντες τινές τῶν γραμματέων τοῦ μέρους τῶν Φαρισαίων διεμάχοντο λέγοντες Οὐδέν κακόν εὑρίσκομεν ἐν τῷ ἀνθρώπῳ τούτῳ εἰ δέ πνεῦμα ἐλάλησεν αὐτῷ ἤ ἄγγελος,Acts,Acts 23
ACT 24:1,After then five days came down the high priest Ananias with elders some and an orator Tertullus certain who made a representation to the governor against - Paul,μετά δέ πέντε ἡμέρα καταβαίνω ὁ ἀρχιερεύς Ἁνανίας μετά πρεσβύτερος τὶς καί ῥήτωρ Τέρτυλλος τὶς ὅστις ἐμφανίζω ὁ ἡγεμών κατά ὁ Παῦλος,Μετά δέ πέντε ἡμέρας κατέβη ὁ ἀρχιερεύς Ἀνανίας μετά πρεσβυτέρων τινῶν καί ῥήτορος Τερτύλλου τινός οἵτινες ἐνεφάνισαν τῷ ἡγεμόνι κατά τοῦ Παύλου,Acts,Acts 24
ACT 24:10,Answered then - Paul having made a sign to him the governor to speak For many years as being you judge to nation this knowing cheerfully to the things concerning myself I make a defense,ἀποκρίνομαι τέ ὁ Παῦλος νεύω αὐτός ὁ ἡγεμών λέγω ἐκ πολύς ἔτος εἰμί σύ κριτής ὁ ἔθνος οὗτος ἐπίσταμαι εὐθύμως ὁ περί ἐμαυτοῦ ἀπολογέομαι,Ἀπεκρίθη τε ὁ Παῦλος νεύσαντος αὐτῷ τοῦ ἡγεμόνος λέγειν Ἐκ πολλῶν ἐτῶν ὄντα σε κριτήν τῷ ἔθνει τούτῳ ἐπιστάμενος εὐθύμως τά περί ἐμαυτοῦ ἀπολογοῦμαι,Acts,Acts 24
ACT 24:11,Being able you to know that not more than there are to me days twelve from which I went up to worship in Jerusalem,δύναμαι σύ ἐπιγινώσκω ὅτι οὐ πολύς εἰμί ἐγώ ἡμέρα δώδεκα ἀπό ὅς ἀναβαίνω προσκυνέω εἰς Ἱεροσόλυμα,δυναμένου σου ἐπιγνῶναι ὅτι οὐ πλείους εἰσίν μοι ἡμέραι δώδεκα ἀφ’ ἧς ἀνέβην προσκυνήσων εἰς Ἱερουσαλήμ,Acts,Acts 24
ACT 24:12,And neither in the temple did they find me with anyone reasoning or a tumultuous gathering making of a crowd nor in the synagogues nor in the city,καί οὔτε ἐν ὁ ἱερός εὑρίσκω ἐγώ πρός τὶς διαλέγομαι ἤ ἐπίστασις ποιέω ὄχλος οὔτε ἐν ὁ συναγωγή οὔτε κατά ὁ πόλις,καί οὔτε ἐν τῷ ἱερῷ εὗρον με πρός τινα διαλεγόμενον ἤ ἐπίστασιν ποιοῦντα ὄχλου οὔτε ἐν ταῖς συναγωγαῖς οὔτε κατά τήν πόλιν,Acts,Acts 24
ACT 24:13,Nor to prove are they able to you concerning [the things] of which now they accuse me,οὐδέ παρίστημι δύναμαι σύ περί ὅς νυνί κατηγορέω ἐγώ,οὐδέ παραστῆσαι δύνανται σοι περί ὧν νυνί κατηγοροῦσιν μου,Acts,Acts 24
ACT 24:14,I confess however this to you that according to the Way which they call a sect so I serve the of our fathers God believing all things - throughout the law and that in the Prophets have been written,ὁμολογέω δέ οὗτος σύ ὅτι κατά ὁ ὁδός ὅς λέγω αἵρεσις οὕτω λατρεύω ὁ πατρῷος θεός πιστεύω πᾶς ὁ κατά ὁ νόμος καί ὁ ἐν ὁ προφήτης γράφω,ὁμολογῶ δέ τοῦτο σοι ὅτι κατά τήν Ὁδόν ἥν λέγουσιν αἵρεσιν οὕτως λατρεύω τῷ πατρῴῳ Θεῷ πιστεύων πᾶσι τοῖς κατά τόν νόμον καί τοῖς ἐν τοῖς προφήταις γεγραμμένοις,Acts,Acts 24
ACT 24:15,a hope having in - God which also they themselves await [that] a resurrection there is about to be of [the] just both and of [the] unjust,ἐλπίς ἔχω εἰς ὁ θεός ὅς καί αὐτός οὗτος προσδέχομαι ἀνάστασις μέλλω εἰμί δίκαιος τέ καί ἄδικος,ἐλπίδα ἔχων εἰς τόν Θεόν ἥν καί αὐτοί οὗτοι προσδέχονται ἀνάστασιν μέλλειν ἔσεσθαι δικαίων τε καί ἀδίκων,Acts,Acts 24
ACT 24:16,In this also I myself strive without offense a conscience to have toward - God and - men through everything,ἐν οὗτος καί αὐτός ἀσκέω ἀπρόσκοπος συνείδησις ἔχω πρός ὁ θεός καί ὁ ἄνθρωπος διά πᾶς,ἐν τούτῳ καί αὐτός ἀσκῶ ἀπρόσκοπον συνείδησιν ἔχειν πρός τόν Θεόν καί τούς ἀνθρώπους διά παντός,Acts,Acts 24
ACT 24:17,After years now many alms to bring to the nation of me I arrived and offerings,διά ἔτος δέ πολύς ἐλεημοσύνη ποιέω εἰς ὁ ἔθνος ἐγώ παραγίνομαι καί προσφορά,δι’ ἐτῶν δέ πλειόνων ἐλεημοσύνας ποιήσων εἰς τό ἔθνος μου παρεγενόμην καί προσφοράς,Acts,Acts 24
ACT 24:18,during which they found me purified in the temple not with a crowd nor in tumult,ἐν ὅς εὑρίσκω ἐγώ ἁγνίζω ἐν ὁ ἱερός οὐ μετά ὄχλος οὐδέ μετά θόρυβος,ἐν αἷς εὗρον με ἡγνισμένον ἐν τῷ ἱερῷ οὐ μετά ὄχλου οὐδέ μετά θορύβου,Acts,Acts 24
ACT 24:19,Some however [are] from - Asia Jews who ought before you to appear and to make accusation if anything they may have against me,τὶς δέ ἀπό ὁ Ἀσία Ἰουδαῖος ὅς δεῖ ἐπί σύ πάρειμι καί κατηγορέω εἰ τὶς ἔχω πρός ἐγώ,τινές δέ ἀπό τῆς Ἀσίας Ἰουδαῖοι οὕς ἔδει ἐπί σοῦ παρεῖναι καί κατηγορεῖν εἴ τι ἔχοιεν πρός ἐμέ,Acts,Acts 24
ACT 24:2,Having been called then of him began to accuse - Tertullus saying Great peace we are attaining through you and excellent measures are being done to the nation this through - your foresight,καλέω δέ αὐτός ἄρχω κατηγορέω ὁ Τέρτυλλος λέγω πολύς εἰρήνη τυγχάνω διά σύ καί διόρθωμα γίνομαι ὁ ἔθνος οὗτος διά ὁ σός πρόνοια,κληθέντος δέ αὐτοῦ ἤρξατο κατηγορεῖν ὁ Τέρτυλλος λέγων Πολλῆς εἰρήνης τυγχάνοντες διά σοῦ καί διορθωμάτων γινομένων τῷ ἔθνει τούτῳ διά τῆς σῆς προνοίας,Acts,Acts 24
ACT 24:20,Otherwise themselves it let them say any they found unrighteousness having stood in me before the Council,ἤ αὐτός οὗτος λέγω τίς εὑρίσκω ἀδίκημα ἵστημι ἐγώ ἐπί ὁ συνέδριον,ἤ αὐτοί οὗτοι εἰπάτωσαν τί εὗρον ἀδίκημα στάντος μου ἐπί τοῦ συνεδρίου,Acts,Acts 24
ACT 24:21,[other] than concerning one this voice which I cried out among them standing - Concerning [the] resurrection of [the] dead I am judged this day by you,ἤ περί εἷς οὗτος φωνή ὅς κράζω ἐν αὐτός ἵστημι ὅτι περί ἀνάστασις νεκρός ἐγώ κρίνω σήμερον ἐπί σύ,ἤ περί μιᾶς ταύτης φωνῆς ἧς ἐκέκραξα ἐν αὐτοῖς ἑστώς ὅτι Περί ἀναστάσεως νεκρῶν ἐγώ κρίνομαι σήμερον ἐφ’ ὑμῶν,Acts,Acts 24
ACT 24:22,Put off however them - Felix more precisely having knowledge of the things concerning the Way having said When Lysias the commander might have come down I will examine the things as to you,ἀναβάλλω δέ αὐτός ὁ Φῆλιξ ἀκριβῶς οἶδα ὁ περί ὁ ὁδός λέγω ὅταν Λυσίας ὁ χιλίαρχος καταβαίνω διαγινώσκω ὁ κατά σύ,Ἀνεβάλετο δέ αὐτούς ὁ Φῆλιξ ἀκριβέστερον εἰδώς τά περί τῆς Ὁδοῦ εἴπας Ὅταν Λυσίας ὁ χιλίαρχος καταβῇ διαγνώσομαι τά καθ’ ὑμᾶς,Acts,Acts 24
ACT 24:23,having commanded the centurion to keep him to [let him] have then ease and not to forbid the own of him to minister to him,διατάσσω ὁ ἑκατοντάρχης τηρέω αὐτός ἔχω τέ ἄνεσις καί μηδείς κωλύω ὁ ἴδιος αὐτός ὑπηρετέω αὐτός,διαταξάμενος τῷ ἑκατοντάρχῃ τηρεῖσθαι αὐτόν ἔχειν τε ἄνεσιν καί μηδένα κωλύειν τῶν ἰδίων αὐτοῦ ὑπηρετεῖν αὐτῷ,Acts,Acts 24
